record_id,资源ID,模型ID,鱼种,标准学名,英文名,最喜欢的温度(°C),候选水温带,资料水温下限(°C),资料水温上限(°C),对温度变化的容忍系数,水温接受阈值,FG推荐结构体,环境类型,栖息带类型,时段偏好,period0_3,period3_6,period6_9,period9_12,period12_15,period15_18,period18_21,period21_24,候选水层,表层亲和系数,中层亲和系数,底层亲和系数,深度上限(m),深度下限(m),真饵类型,拟饵类型,候选饵食性,摄食类型
recvppgBfW4irh,icon_fish_0026_2D,fish_flathead_catfish,铲鮰,Pylodictis Olivaris,Flathead Catfish,27.5,温水,21.5,33.5,4.06,0.1,沉木|深坑|断层|泥底|入水口,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWQhq4,icon_placeholder_0001_2D,#N/A,鲻鱼,Mugil Cephalus,Flathead Grey Mullet,16,温水,8,24,4,0.1,开放水域|深坑|断层|湾子|泥底|沙洲|浅滩|码头|入水口|出水口|沙底,淡水|半咸水|海水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,120,0,种子|昆虫|甲壳|鱼饵|面团|谷物,,腐食性,variable
recvppgBfWOPsA,icon_placeholder_0001_2D,#N/A,大西洋鲭,Scomber Scombrus,Atlantic Mackerel,10.2,,7.2,13.2,8,0.1,开放水域|深坑|断层|入水口|出水口,半咸水|海水,pelagic-neritic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,1000,0,种子|甲壳|鱼饵|鱼卵|谷物|肉饵|饵鱼|内脏,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,温和肉食性,variable
recvppgBfW3JSO,icon_fish_0036_2D,fish_northern_pike,白斑狗鱼,Esox Lucius,Northern Pike,19,广温,10,28,4.5,0.1,开放水域|水草|沉木|深坑|断层|湾子|浅滩|芦苇,淡水|半咸水,pelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中上层|中层,7,10,4,30,0,昆虫|甲壳|鱼饵|鱼卵|肉饵|饵鱼|内脏,T尾|仿真蛙|米诺|勺子亮片|旋转亮片|雷蛙|复合亮片,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWmYyM,icon_fish_0042_2D,fish_redfin_pickerel,红鳍狗鱼,Esox Americanus,Redfin Pickerel,21,温水,16,26,3.25,0.1,水草|沉木|湾子|浅滩|芦苇,淡水|半咸水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,昆虫|甲壳|饵鱼,T尾|软虫|仿真蛙|米诺|勺子亮片|旋转亮片|VIB|雷蛙|复合亮片,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWuSdg,icon_fish_0012_2D,fish_blue_catfish,蓝鲶鱼,Ictalurus Furcatus,Blue Catfish,22,温水,17,27,6,0.1,沉木|深坑|断层|湾子|泥底|入水口,淡水|半咸水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,50,,昆虫|鱼饵|肉饵|饵鱼|内脏,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,
recvppgBfWh7Ja,icon_fish_0009_2D,fish_black_bullhead_catfish,黑鮰,Ameiurus Melas,Black Bullhead Catfish,19,广温,8,30,5.5,0.1,水草|沉木|湾子|泥底|浅滩|芦苇,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,10,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,杂食性,hunting macrofauna (predator)
recvppgBfWCJhn,icon_fish_0057_2D,fish_white_channel_catfish,白化叉尾鮰,Ictalurus Punctatus,White Channel Catfish,20.8,广温,10,31.6,5.4,0.1,沉木|深坑|断层|湾子|泥底|入水口,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,15,,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,杂食性,variable
recvppgBfWSpJ8,icon_fish_0007_2D,fish_bigmouth_buffalo,大口牛胭脂鱼,Ictiobus Cyprinellus,Bigmouth Buffalo,22.75,温水,15.5,30,3.62,0.1,深坑|断层|泥底|碎石底|入水口|沙底,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,表层|中下层|底层,10,7,10,,4,种子|昆虫|甲壳|鱼饵|面团|谷物,,滤食性,
recvppgBfWp1dp,icon_fish_0047_2D,fish_shortnose_sturgeon,短吻鲟,Acipenser Brevirostrum,Shortnose Sturgeon,15.6,温水,11.6,19.6,6,0.1,开放水域|深坑|断层|泥底|碎石底|入水口|出水口|沙底,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,53,6,昆虫|甲壳|鱼饵,,温和肉食性,
recvppgBfWFxyU,icon_fish_0006_2D,fish_atlantic_sturgeon,尖吻鲟,Acipenser Oxyrinchus,Atlantic Sturgeon,14.35,温水,4.3,24.4,5.02,0.1,开放水域|深坑|断层|泥底|碎石底|入水口|出水口|沙底,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|底层,10,4,10,46,1,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,,温和肉食性,hunting macrofauna (predator)
recvppgBfWi1DY,icon_fish_0018_2D,fish_brown_trout,褐鳟,Salmo Trutta,Brown Trout,21,温水,18,24,1.5,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,pelagic-neritic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中上层|中层,7,10,4,28,0,昆虫|甲壳|鱼饵|鱼卵|饵鱼,米诺|勺子亮片|旋转亮片,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWqD6E,icon_fish_0029_2D,fish_golden_shiner,金体美鱥,Notemigonus Crysoleucas,Golden Shiner,17.35,温水,0,34.7,8.68,0.1,开放水域|水草|湾子|泥底|浅滩|芦苇,淡水|半咸水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,10,种子|昆虫|甲壳|面团|谷物,,杂食性,variable
recvppgBfWqQzs,icon_fish_0040_2D,fish_red_drum,美国红鱼,Sciaenops Ocellatus,Red Drum,20.5,温水,15,26,2.75,0.1,深坑|断层|湾子|泥底|码头|入水口|沙底,半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,10,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWq7m4,icon_fish_0017_2D,fish_brown_bullhead,云斑鮰,Ameiurus Nebulosus,Brown Bullhead,18.7,温水,0,37.4,9.35,0.1,水草|沉木|湾子|泥底|浅滩|芦苇,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,12,10,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,杂食性,hunting macrofauna (predator)
recvppgBfWmvOm,icon_fish_0023_2D,fish_cichla_ocellaris,眼点丽鱼,Cichla Ocellaris,Cichla Ocellaris,25.5,暖水,24,27,0.75,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水|半咸水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,表层|中下层|底层,10,7,10,,5,饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfW7BfW,icon_fish_0059_2D,fish_white_sturgeon01,高首鲟,Acipenser Transmontanus,White Sturgeon 01,11.65,,0,23.3,5.82,0.1,开放水域|深坑|断层|泥底|碎石底|入水口|出水口|沙底,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,122,1,昆虫|甲壳|鱼饵|饵鱼,,温和肉食性,hunting macrofauna (predator)
recvppgBfWvsQS,icon_fish_0060_2D,fish_white_sturgeon02,白化高首鲟,Acipenser Transmontanus,White Sturgeon 02,11.65,,0,23.3,5.82,0.1,开放水域|深坑|断层|泥底|碎石底|入水口|出水口|沙底,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,122,1,昆虫|甲壳|鱼饵|饵鱼,,温和肉食性,hunting macrofauna (predator)
recvppgBfWaSu9,icon_fish_0051_2D,fish_steelhead_trout,硬头鳟,Oncorhynchus Mykiss,Steelhead Trout,17,温水,10,24,3.5,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,200,0,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfW0Zk4,icon_fish_0002_2D,fish_alligator_gar,鳄雀鳝,Atractosteus Spatula,Alligator Gar,22,温水,17,27,6,0.1,开放水域|水草|沉木|湾子|浅滩|芦苇,淡水|半咸水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,0,甲壳|饵鱼,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWrOAr,icon_fish_0032_2D,fish_hardhead,臼齿鱼,Mylopharodon Conocephalus,Hardhead,22,温水,17,27,6,0.1,深坑|湾子|泥底,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,昆虫|鱼饵,,杂食性,
recvppgBfW1di5,icon_fish_0022_2D,fish_chiselmouth,美洲锐唇鲷,Gila Alutacea,Chiselmouth,15,温水,11,19,8,0.1,石头|深坑|断层|岩架|崖壁|暗岛,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,种子|昆虫|面团|谷物,,植食性,grazing on aquatic plants
recvppgBfWEP7C,icon_fish_0013_2D,fish_blue_sucker,长背亚口鱼,Cycleptus Elongatus,Blue Sucker,22,温水,17,27,6,0.1,深坑|断层|泥底|碎石底|入水口|沙底,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫|鱼饵,,温和肉食性,
recvppgBfWV4up,icon_fish_0004_2D,fish_american_paddlefish,鸭嘴鲟,Polyodon Spathula,American Paddlefish,14,冷水,10,18,2,0.1,深坑|断层|泥底|碎石底|入水口|出水口|沙底,淡水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,表层|底层,10,4,10,,2,昆虫|鱼饵,,滤食性,filtering plankton
recvppgBfWM50F,icon_fish_0050_2D,fish_spotted_gar,斑点雀鳝,Lepisosteus Oculatus,Spotted Gar,16,温水,12,20,2,0.1,开放水域|水草|沉木|湾子|浅滩|芦苇,淡水|半咸水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,0,甲壳|饵鱼,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWN4vR,icon_fish_0056_2D,fish_white_alligator_gar,白金火箭,Atractosteus Spatula,White Alligator Gar,22,温水,17,27,6,0.1,开放水域|水草|沉木|湾子|浅滩|芦苇,淡水|半咸水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,0,甲壳|饵鱼,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWzbGS,icon_fish_0027_2D,fish_florida_gar,佛罗里达雀鳝,Lepisosteus Platyrhincus,Florida Gar,22,温水,17,27,6,0.1,开放水域|水草|沉木|湾子|浅滩|芦苇,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,昆虫|甲壳|饵鱼,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWDMIV,icon_fish_0025_2D,fish_cutthroat_trout,白马切喉鳟,Oncorhynchus Clarkii,Cutthroat Trout,8.1,,6.1,10.1,2.9,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,200,0,昆虫|甲壳|鱼饵|鱼卵|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWSeoR,icon_fish_0054_2D,fish_tennessee_shiner,露仙美鱥,Paranotropis Leuciodus,Tennessee Shiner,15,,11,19,8,0.1,深坑|湾子|泥底,,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,,,杂食性,
recvppgBfWLacW,icon_fish_0044_2D,fish_river_chub,小须美鱥,Nocomis Micropogon,River Chub,15,温水,11,19,8,0.1,石头|深坑|碎石底|浅滩|入水口|沙底,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,种子|昆虫|甲壳|鱼饵|面团|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,
recvppgBfW5dNA,icon_fish_0033_2D,fish_hornyhead_chub,双点美鱥,Nocomis Biguttatus,Hornyhead Chub,15,温水,11,19,8,0.1,石头|深坑|碎石底|浅滩|入水口|沙底,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,种子|昆虫|甲壳|鱼饵|面团|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,hunting macrofauna (predator)
recvppgBfWcwV0,icon_fish_0024_2D,fish_common_shiner,美鱥,Notemigonus Crysoleucas,Common Shiner,17.35,温水,0,34.7,8.68,0.1,开放水域|水草|湾子|泥底|浅滩|芦苇,淡水|半咸水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,10,种子|昆虫|甲壳|面团|谷物,,杂食性,variable
recvppgBfWCS5y,icon_fish_0019_2D,fish_buffalo,水牛鱼,Ictiobus Bubalus,Buffalo,27.1,温水,21.1,33.1,4.01,0.1,深坑|断层|泥底|碎石底|入水口|沙底,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,4,种子|甲壳|鱼饵|面团|谷物,T尾|卷尾|软虫|米诺|VIB,杂食性,hunting macrofauna (predator)
recvppgBfWjob4,icon_fish_0015_2D,fish_bowfin,弓鳍鱼,Amia Calva,Bowfin,17.5,温水,15,20,1.25,0.1,水草|沉木|湾子|泥底|浅滩|浮萍|芦苇,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,0,种子|昆虫|甲壳|谷物|肉饵|饵鱼|内脏,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfW8ABR,icon_fish_0034_2D,fish_largemouth_bass,大口黑鲈,Micropterus Salmoides,Largemouth Bass,20.85,广温,10,31.7,5.43,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,6,0,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|肉饵|饵鱼|内脏,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWgbC9,icon_fish_0049_2D,fish_spotted_bass,斑点黑鲈,Micropterus Punctulatus,Spotted Bass,22,温水,17,27,6,0.1,水草|石头|沉木|断层|湾子|碎石底|浅滩|入水口,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,昆虫|饵鱼,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWM3bv,icon_fish_0058_2D,fish_white_crappie,白斑刺盖太阳鱼,Pomoxis Annularis,White Crappie,26.3,温水,20.3,32.3,3.91,0.1,水草|石头|沉木|湾子|浅滩|芦苇|码头,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,昆虫|甲壳|饵鱼,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWdXkn,icon_fish_0014_2D,fish_bluegill,蓝鳃太阳鱼,Lepomis Macrochirus,Bluegill Sunfish,18.5,广温,1,36,8.75,0.1,水草|石头|沉木|湾子|浅滩|芦苇|码头,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,温和肉食性,hunting macrofauna (predator)
recvppgBfW5pTn,icon_fish_0062_2D,fish_yellow_perch,黄鲈,Perca Flavescens,Yellow Perch,14.85,温水,0,29.7,7.43,0.1,水草|石头|深坑|断层|岩架|湾子|碎石底|暗岛,淡水|半咸水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,56,0,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWmWs0,icon_fish_0021_2D,fish_channel_catfish,斑点叉尾鮰,Ictalurus Punctatus,Channel Catfish,20.8,广温,10,31.6,5.4,0.1,沉木|深坑|断层|湾子|泥底|入水口,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,15,,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,杂食性,variable
recvppgBfWMCzd,icon_fish_0045_2D,fish_rock_bass,岩钝鲈,Ambloplites Rupestris,Rock Bass,19.65,广温,10,29.3,4.82,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,21,0,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,温和肉食性,hunting macrofauna (predator)
recvppgBfWTdCt,icon_fish_0035_2D,fish_muskellunge,北美狗鱼,Esox Masquinongy,Muskellunge,15,温水,11,19,8,0.1,开放水域|水草|沉木|深坑|断层|湾子|浅滩|芦苇,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,肉饵|饵鱼|内脏,T尾|软虫|仿真蛙|米诺|勺子亮片|旋转亮片|VIB|雷蛙|复合亮片,凶猛肉食性,hunting macrofauna (predator)
