中文名,英文名,标准学名,源记录ID,资料水温下限(°C),资料水温上限(°C),最喜欢的温度(°C),候选水温带,时段偏好,栖息带类型,深度下限(m),深度上限(m),食性（源表候选）,摄食类型,环境类型,AI审核状态,资料复核状态,复核食性类别,复核摄食机制,复核主要食物,复核栖息与空间行为,复核生命周期与繁殖行为,复核事实摘要
鳡鱼,Yellowcheek,Elopichthys Bambusa,recvq6YNcI9sV4,10,20,15,温水,早晨活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
马口鱼,Chinese Hook Snout Carp,Opsariichthys Bidens,recvq6YNcI6Yy6,10,20,15,温水,早晨活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
黄金鲫,Golden Crucian,Carassius Auratus (hybrid),recvq6YNcIwOXg,0,41,20.5,温水,早晨活跃,,0,20,,,,待人工审核,,,,,,,
鯮鱼,Long-jawed Baelama,Luciobrama Macrocephalus,recvq6YNcIYRCN,17,27,22,温水,早晨活跃,benthopelagic,,,,,淡水|半咸水,待人工审核,,,,,,,
黄颡鱼,Yellow Catfish,Tachysurus Fulvidraco,recvq6YNcI0jOn,16,25,20.5,温水,全天活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
麦穗鱼,Stone Moroko,Pseudorasbora Parva,recvq6YNcISGxd,5,22,13.5,冷水,全天活跃,benthopelagic,,,杂食性,variable,淡水|半咸水,待人工审核,,,,,,,
鲢鱼,Silver Carp,Hypophthalmichthys Molitrix,recvq6YNcIlrhs,6,30,18,广温,早晨活跃,benthopelagic,0,20,植食性,grazing on aquatic plants,淡水|半咸水,待人工审核,已修正,杂食性,Filter,,,,Silver Carp 为滤食鱼；主要摄食浮游植物，也摄食浮游动物、细菌和碎屑。源快照的“grazing on aquatic plants / 植食性”保留作 provenance，不作为复核后的优先事实。
黄尾鲴,Xenocypris Davidi,Xenocypris Davidi,recvq6YNcIvhh6,17,27,22,温水,早晨活跃,benthopelagic,,,,,淡水|半咸水,待人工审核,,,,,,,
鲮,Mud Carp,Cirrhinus Molitorella,recvq6YNcIxfgB,22,26,24,暖水,早晨活跃,benthopelagic,5,20,植食性,grazing on aquatic plants,淡水,待人工审核,,,,,,,
鳙鱼,Bighead Carp,Hypophthalmichthys Nobilis,recvq6YNcIqCRi,0.5,38,19.25,广温,早晨活跃,benthopelagic,0,,杂食性,variable,淡水|半咸水,待人工审核,已复核-无问题,杂食性,Filter,,,,Bighead Carp 是典型 filter-feeder；更擅长过滤较大的 zooplankton 和 phytoplankton，食物资源不足时也可利用更小颗粒。
高体鳑鲏,Rosy Bitterling,Rhodeus Ocellatus,recvq6YNcIEUhR,18,24,21,温水,全天活跃,benthopelagic,,,,,淡水|半咸水,待人工审核,,,,,,,
