species,temperature,structure,time,feeding_layer,joint,joint_nearest_distance,outlier
铲鮰,0,0,0,0,0,0.05488215488215488,False
鲻鱼,1,1,1,0,1,0.11461840628507297,False
大西洋鲭,2,2,2,1,2,0.0,False
白斑狗鱼,3,3,3,1,3,0.0,False
红鳍狗鱼,4,3,3,0,4,0.06613756613756613,False
蓝鲶鱼,4,0,0,0,0,0.0,False
黑鮰,3,3,0,0,5,0.11844636844636844,False
白化叉尾鮰,3,0,0,0,0,0.046541250244953945,False
大口牛胭脂鱼,4,4,1,2,6,0.0,False
短吻鲟,1,4,3,0,7,0.08238536155202822,False
尖吻鲟,5,4,3,2,8,0.048679661656444405,False
褐鳟,4,5,3,1,9,0.09775256227732801,False
金体美鱥,6,6,1,0,10,0.024557015191020944,False
美国红鱼,4,7,3,0,11,0.13109267275933942,False
云斑鮰,6,3,0,0,5,0.13754633166397873,False
眼点丽鱼,0,8,2,2,12,0.09440035273368606,False
高首鲟,5,4,3,0,7,0.13648046305413974,False
白化高首鲟,5,4,3,0,7,0.13648046305413974,False
硬头鳟,1,5,3,0,7,0.0,False
鳄雀鳝,4,3,3,0,4,0.08367404200737534,False
臼齿鱼,4,9,1,0,13,0.1340909090909091,False
美洲锐唇鲷,1,10,1,0,13,0.14783921181056597,True
长背亚口鱼,4,4,1,0,13,0.09310800948731984,False
鸭嘴鲟,1,4,2,2,8,0.07890834811407728,False
斑点雀鳝,1,3,3,0,4,0.023709315375982042,False
白金火箭,4,3,3,0,4,0.08367404200737534,False
佛罗里达雀鳝,4,3,3,0,4,0.08367404200737534,False
白马切喉鳟,7,5,3,0,7,0.04631633798300465,False
露仙美鱥,1,9,1,0,13,0.10950147735862022,False
小须美鱥,1,11,1,0,13,0.12511193908329324,False
双点美鱥,1,11,1,0,13,0.12511193908329324,False
美鱥,6,6,1,0,10,0.024557015191020944,False
水牛鱼,0,4,1,0,13,0.1412788996946983,False
弓鳍鱼,8,3,3,0,4,0.053591470258136924,False
大口黑鲈,3,8,3,0,4,0.0,False
斑点黑鲈,4,8,3,0,4,0.024999999999999994,False
白斑刺盖太阳鱼,0,12,3,0,4,0.11105766661322214,False
蓝鳃太阳鱼,6,12,3,0,4,0.08761458857465004,False
黄鲈,9,13,3,0,14,0.1422665852602702,False
斑点叉尾鮰,3,0,0,0,0,0.046541250244953945,False
岩钝鲈,3,8,3,0,4,0.014791373492216368,False
北美狗鱼,1,3,3,0,4,0.04224787558120892,False
灰西鲱,7,2,2,1,2,0.032480893592004706,False
小口黑鲈,3,8,3,2,15,0.12058994228733093,False
美洲条纹狼鲈,1,8,3,0,4,0.06272458478340831,False
链纹狗鱼,1,3,3,0,4,0.0,False
黑斑刺盖太阳鱼,4,12,3,0,4,0.05618217567628112,False
驼背太阳鱼,9,12,3,0,4,0.08164493667565864,False
加拿大梭鲈,0,13,0,2,16,0.0,False
玻璃梭鲈,9,13,0,0,14,0.14361575302435517,False
绿太阳鱼,0,12,3,0,4,0.08350324307106124,False
迷人真小鲤,4,14,1,0,13,0.08564985795454545,False
美洲红点鲑,5,5,3,0,7,0.07910441295534462,False
虹鳟,1,5,3,0,7,0.0,False
金鳟,1,5,3,0,7,0.06404693190407476,False
红斑太阳鱼,1,12,3,0,4,0.030884239217572558,False
丁鱥,5,6,3,2,17,0.14921436588103254,True
淡水石首鱼,0,7,3,0,11,0.1351744962856074,False
白亚口鱼,9,4,1,0,13,0.12606357742876512,False
小冠太阳鱼,4,12,3,0,4,0.08181818181818182,False
美洲鳗鲡,5,15,0,0,18,0.0,False
黑牛胭脂鱼,4,4,1,0,13,0.11810800948731984,False
美洲西鲱,7,2,2,1,2,0.039756025867136974,False
黄旗金枪鱼,4,2,2,1,2,0.11098418042862487,False
牛港鲹,7,16,2,0,19,0.08307947196836085,False
鬼头刀,0,2,2,1,2,0.06011169900058791,False
旗鱼,0,2,2,1,2,0.09496419218641441,False
西方七鳃鳗,10,15,0,0,18,0.06202233980011758,False
乌鳢,11,3,3,0,4,0.0698733365400032,False
眼鳢,0,3,3,0,4,0.0923601090267757,False
白鲶鱼,4,3,0,0,5,0.06818181818181818,False
大西洋大海鲢,12,17,3,0,20,0.14212049542310679,False
浅滩鲈鱼,4,8,3,0,4,0.0,False
公牛鲨,0,5,0,0,0,0.0867003367003367,False
米达斯慈鲷,0,8,2,0,12,0.032627865961199286,False
红鲑鱼,5,5,3,1,9,0.0,False
帝王鲑,5,5,3,0,7,0.05752614893942108,False
大西洋鲑鱼,7,5,3,0,7,0.0819928308023546,False
梅花鲈,1,13,3,2,8,0.14679333012666346,False
银鲑,5,5,3,1,9,0.00060691077446269,False
大马哈鱼,5,5,3,0,7,0.06354973619389936,False
吉拉鳟鱼,1,5,3,0,7,0.06404693190407476,False
阿帕奇鳟鱼,1,5,3,0,7,0.06404693190407476,False
粉鲑,7,5,3,0,7,0.036836620169953496,False
江鳕,11,9,0,0,18,0.11139169472502805,False
湖白鲑,5,5,3,1,9,0.02950216772171257,False
北极茴鱼,1,5,3,0,7,0.03904693190407477,False
阿拉斯加黑鱼,2,3,3,0,4,0.08886483886483887,False
北极红点鲑,11,5,3,0,7,0.08055555555555555,False
月眼鱼,1,2,0,1,21,0.0,False
黑斑须雅罗鱼,9,14,1,0,13,0.09718194041626385,False
巨骨舌鱼,7,3,3,0,4,0.07872374539041208,False
红腹食人鱼,0,0,2,1,22,0.08543102987547432,False
接吻鲷,0,4,2,2,6,0.03674309229864785,False
黑食人鱼,0,0,2,0,19,0.062209395542728876,False
黑棘鲶,0,3,3,0,4,0.10782427449094117,False
银龙鱼,7,3,3,0,4,0.11180722569611456,False
眼斑河魟,0,18,0,0,23,0.1302188552188552,False
大理石倒立鱼,0,6,3,1,22,0.0,False
巴亚拉鱼,0,0,3,0,11,0.1017917267917268,False
红钩鱼,0,6,2,0,19,0.08018678852012186,False
银斑鲫,0,6,1,0,10,0.12165112958763755,False
红尾鲶鱼,4,0,0,0,0,0.039482122815456155,False
细纹鲶鱼,0,3,3,0,4,0.08680722569611457,False
南美肺鱼,0,3,0,0,5,0.12451899951899953,False
奥里诺科孔雀鲈,7,8,2,0,12,0.0,False
短扁口鲶,0,0,1,0,13,0.11710194496218801,False
电鳗,0,15,0,0,0,0.09640051306717973,False
红尾梭鱼,0,0,3,0,11,0.10590695312917535,False
巨狼鱼,0,0,3,0,11,0.10590695312917535,False
花羔红点鲑,11,5,2,0,19,0.14484549738455987,False
大眼金枪鱼,4,2,2,1,2,0.11098418042862487,False
太平洋蓝鳍金枪鱼,0,2,2,1,2,0.08695419806530919,False
康氏马鲛,0,2,2,1,2,0.07216343327454439,False
日本竹荚鱼,1,2,2,1,2,0.039388594944150514,False
条纹四鳍旗鱼,4,2,2,1,2,0.06667201111645556,False
蓝笛鲷,0,16,3,0,11,0.14797868107329912,True
莱氏拟乌贼,0,19,3,0,11,0.10443722943722944,False
裸狐鲣,0,2,2,0,19,0.0,False
长鳍金枪鱼,1,2,2,1,2,0.0987522411797005,False
鞍带石斑鱼,0,10,3,0,11,0.14881085992197102,True
高体鰤,0,16,2,0,19,0.08374084762973653,False
东方狐鲣,8,2,2,1,2,0.062115164454345735,False
日本鲭,3,2,2,1,2,0.08445723968599786,False
海鲈鱼,4,8,3,2,15,0.10266554433221098,False
黑鲷,0,10,2,0,19,0.12406605739939074,False
真鲷,4,10,2,0,19,0.1430695847362514,False
条石鲷,4,10,2,2,24,0.125,False
沙鮻,7,17,3,0,11,0.11258217091550424,False
星点东方鲀,0,17,2,0,19,0.06729196729196729,False
枯叶鱼,7,2,0,3,21,0.11307118807118804,False
黑带兔脂鲤,0,6,3,0,10,0.10139757361979584,False
